zip,population,density
03287,1566,19.1
03290,4860,39.9
03291,106,82.7
03293,195,34
03301,33004,258
03303,15834,88.8
03304,7837,103.1
03307,5488,41.7
03431,25463,164.4
03440,3015,28.7
03441,185,38.9
03442,1407,50.7
03443,552,25.8
03444,1479,22
03445,765,13.3
03446,5940,56.8
03447,2395,26.7
03448,738,16.1
03449,1785,21.3
03450,921,19.9
03451,3966,73.6
03452,5307,54.9
03455,2295,34.3
03456,813,11
03457,796,14.3
03458,6904,47.7
03461,6106,62.5
03462,1345,30.9
03464,1054,8.6
03465,2015,47.1
03466,1698,33.6
03467,1685,20.1
03470,5126,22.2
03561,5931,45.1
03570,10382,36.8
03574,2568,10.8
03575,80,1.7
03576,2807,8.8
03579,344,0.3
03580,1306,5.6
03581,3080,8.3
03582,2459,11.7
03583,941,8.5
03584,3686,24.7
03585,2666,12
03586,629,12.7
03588,1580,4.4
03590,940,3.9
03592,1060,1.3
03593,422,1.3
03595,660,6.7
03597,435,3.8
03598,3231,20.5
03601,390,9.6
03602,2568,17.7
03603,5290,49
03604,269,54.3
03605,911,13.8
03607,440,8
03608,2926,32.1
03609,680,369.5
03740,656,10.3
03741,4033,21.1
03743,13676,89
03745,1546,15.8
03746,267,11.8
03748,4864,42.8
03750,879,26.8
03751,583,73.8
03752,772,13.9
03753,2874,42.3
03754,267,864.8
03755,10885,112.7
03765,471,43.7
03766,9392,108.9
03768,1682,12.3
03770,513,40.9
03771,927,13.2
03773,7658,32.8
03774,2115,29.3
03777,1507,10.6
03779,807,7.7
03780,536,9.7
03781,1902,15
03782,3006,54
03784,4004,188.2
03785,2240,15.5
03801,22576,349.7
03809,3660,35.2
03810,1720,25.5
03811,6897,234.2
03812,577,5.3
03813,2702,13.1
03814,2353,28.5
03816,1536,18.4
03817,765,22.7
03818,3948,17.2
03819,4498,145.1
03820,31367,418
03823,1816,62.7
03824,16440,252.2
03825,9201,71.1
03826,2309,344
03827,3171,68.2
03830,2095,48.3
03832,323,6.1
03833,22096,166.3
03835,6884,71.5
03836,1353,16.4
03837,1305,29.2
03838,1184,17.3
03839,3938,170.2
03840,3941,131.2
03841,6437,223.1
03842,15412,463.9
03844,2344,70.1
03845,1056,28.8
03846,966,4.8
03847,337,133.3
03848,6190,117.5
03849,1462,24.5
03850,275,47.6
03851,4072,59.1
03852,571,32
03853,538,29.3
03854,780,462.2
03855,2699,24.6
03856,1670,91.5
03857,9064,275
03858,4886,180.9
03860,4395,77.9
03861,4424,83.6
03862,4465,119.1
03864,1801,19.1
03865,7677,277.2
03867,21519,270.9
03868,5204,272.2
03869,2479,134.7
03870,5319,163.1
03871,115,125.7
03872,3301,31
03873,6194,165.6
03874,8868,376.1
03875,1067,23.1
03878,11959,456.2
03882,1537,14.6
03883,117,5.4
03884,3896,31.6
03885,7387,185
03886,2070,21.4
03887,2097,41.4
03890,149,27.6
03894,6212,49.7
03901,7620,74.3
03902,2593,43.6
03903,6484,121.2
03904,7860,264.7
03905,1866,104.7
03906,4712,46.9
03907,1163,84.3
03908,7420,86.8
03909,9997,109.3
03910,294,365.8
03911,52,277.5
04001,2565,26.1
04002,7530,43
04003,324,122.4
04005,23345,186.5
04006,154,493
04008,2844,29.4
04009,5306,35.1
04010,1410,13.9
04011,20534,167.4
04015,3824,46.3
04017,415,36.8
04019,23,33
04020,1278,24.4
04021,6483,108.9
04022,1257,9.6
04024,563,14.8
04027,6230,42.3
04029,1598,20.3
04030,2654,51.2
04032,8387,87.6
04037,3814,17.9
04038,17307,125
04039,7562,70.5
04040,3191,19.5
04041,1739,16.6
04042,4553,51.6
04043,11343,118.1
04046,7818,65.2
04047,1899,12.5
04048,3005,40.3
04049,3727,34.5
04050,282,61.8
04051,1071,10.2
04055,3920,47.1
04056,345,17.6
04057,63,392.3
04061,2978,66.3
04062,18270,139.8
04063,482,237.3
04064,8327,468.7
04066,687,115.5
04068,1548,18.4
04069,1677,24.7
04071,5152,50
04072,19342,185.5
04073,16302,167.1
04074,19713,152.3
04076,2710,26.7
04079,3868,70.4
04083,4665,174.9
04084,7766,66.6
04085,2307,57.2
04086,8763,105.4
04087,2171,42.9
04088,1363,12.1
04090,10235,64.2
04091,907,18.2
04092,18417,393.3
04093,8202,76.5
04095,1181,17
04096,8501,241.3
04097,3766,65
04101,17252,3318.9
04102,17494,1115.1
04103,30970,1150.3
04105,11806,147
04106,25823,791.5
04107,9102,239.2
04108,896,279.5
04109,100,28.4
04110,1372,238.8
04210,23064,150.1
04216,371,1.8
04217,3279,7
04219,1640,9.3
04220,3085,15.2
04221,928,13.2
04222,3931,38.8
04224,2493,15.8
04226,197,6.8
04227,130,53.2
04228,0,33.9
04231,279,2.7
04234,63,197.8
04236,4362,52
04237,175,13.1
04238,1775,24.4
04239,4659,38.7
04240,36097,413.8
04250,4050,136.9
04252,4846,170
04253,2082,21.5
04254,3143,62.6
04255,625,8.2
04256,2935,105.1
