Zip,Median,Mean
2116,"80,153","136,491"
2118,"51,368","82,360"
2119,"36,316","47,419"
2120,"28,794","41,569"
2121,"28,897","42,271"
2122,"45,859","59,863"
2124,"43,598","56,611"
2125,"44,266","57,482"
2126,"51,733","59,320"
2127,"64,285","80,697"
2128,"42,613","55,095"
2129,"80,223","108,709"
2130,"69,576","90,455"
2131,"62,945","73,124"
2132,"76,802","95,567"
2134,"33,863","47,915"
2135,"52,714","64,682"
2136,"54,410","67,054"
2138,"68,127","112,348"
2139,"62,821","83,356"
2140,"65,283","91,656"
2141,"57,909","79,408"
2142,"61,141","88,669"
2143,"64,966","79,417"
2144,"68,004","80,579"
2145,"50,718","63,041"
2148,"55,890","66,741"
2149,"49,696","62,187"
2150,"40,344","50,098"
2151,"51,723","60,340"
2152,"68,218","82,769"
2155,"69,803","82,586"
2163,"23,429","39,215"
2169,"56,647","69,210"
2170,"64,309","77,390"
2171,"66,808","80,719"
2176,"85,681","95,604"
2180,"78,103","86,637"
2184,"77,129","95,668"
2186,"98,712","125,636"
2188,"65,251","80,495"
2189,"62,491","73,956"
2190,"74,205","89,585"
2191,"68,143","75,926"
2199,"68,080","149,005"
2203,"106,602","135,049"
2210,"61,807","86,291"
2215,"30,726","51,218"
2301,"48,470","58,674"
2302,"62,408","66,149"
2322,"67,313","77,494"
2324,"80,879","87,642"
2330,"70,048","77,569"
2332,"116,904","149,633"
2333,"82,133","89,922"
2339,"104,787","118,371"
2341,"81,912","90,515"
2343,"62,560","74,251"
2346,"72,466","80,698"
2347,"94,495","102,487"
2351,"75,850","83,124"
2356,"99,682","123,583"
2357,"101,136","146,319"
2359,"83,622","95,280"
2360,"74,603","86,753"
2364,"78,923","100,027"
2366,"89,632","93,117"
2367,"87,917","98,668"
2368,"65,118","74,837"
2370,"62,855","74,684"
2375,"78,410","93,429"
2379,"73,651","88,014"
2382,"77,027","83,066"
2420,"139,453","181,881"
2421,"126,827","167,894"
2445,"105,027","160,933"
